wof:id,sg:id
169574171,SG_45Zw3p1V5TJrNd5SGIcf4h_41.012379_28.975925@1306270052
169529117,SG_05ly1LpTP7hPi2vBrAHXPI_41.012379_28.975925@1306270050
169576031,SG_1NWPkmJiXb04Gx8YO0srJe_41.012379_28.975925@1306270052
169563007,SG_31aVbCiVksGfIqVjEJ5Dre_41.059872_28.912863@1306270051
169530275,SG_3DSGCZee74NI39gi7jfatM_41.085007_29.011358@1306270050
169548387,SG_0QHwRLq5vkcMUGrWRaYQDe_38.622200_27.429701@1306270051
169578011,SG_0ZoYy9ZfUIwCVstH0JBhwE_41.012379_28.975925@1306270052
169574177,SG_2B2fzPYD1KlutNe8ho6OT7_41.054176_29.011803@1306270052
169528057,SG_2JbKR1OJWr3SgpM1oWV7Nx_40.811581_29.366098@1306270050
169527273,SG_21a3uoiS8aAQWhsov8WwLP_36.986286_35.325428@1306270050
169576037,SG_3piguAR8rDNJBsgS4RFD92_40.853271_29.881521@1306270052
169563017,SG_2WkWRwdvpwWCsb3iY5fz4j_41.056499_28.953613@1306270051
169530283,SG_4wQQTI5pv5WKyQRH4jWjM6_41.012379_28.975925@1306270050
169548419,SG_6NusdXYzF1nD5hhwYnSJk3_41.012379_28.975925@1306270051
169578023,SG_7mXLfg2gIZUs1DnZKsW9Pe_41.012379_28.975925@1306270052
169574189,SG_63lCAZvfU8WW3JzUVCmIge_41.092728_29.005423@1306270052
169529127,SG_2v611gQkWhuuBxEdf5eFAk_41.012379_28.975925@1306270050
169576063,SG_6xYvGgeQ8H1eaXI8AYYJIZ_41.012379_28.975925@1306270052
169548439,SG_5MBigx1tN9v1nKYMlprAtR_41.092869_28.965914@1306270051
169579019,SG_4QwVr9JEWNgGxzerkgd1rw_41.012379_28.975925@1306270052
169578037,SG_13AHNu8BTkv75lHEtasaws_41.012379_28.975925@1306270052
169574203,SG_2ITA4EQMb9rDSpELbjVl2v_41.012379_28.975925@1306270052
169530289,SG_2eAwv360kWEHjHfHLXdRgg_41.012379_28.975925@1306270050
169528195,SG_7MpBCeGge21ZmQZTIvH2eu_41.012379_28.975925@1306270050
169576093,SG_7CTxRy29vE7lggTZ5ZSCYE_41.012379_28.975925@1306270052
169578039,SG_2577Oe55Xz54N3HZnyE7sR_41.012379_28.975925@1306270052
169548461,SG_5EGyILpBpsfU3k0Tz8boOE_38.740334_35.484669@1306270051
169579023,SG_79OuQd0m7qt1pBR0VPA70T_41.045677_28.984156@1306270052
169574205,SG_46AODTwojR9yVLVu0X4jlA_40.979198_27.514400@1306270052
169530297,SG_0SAc3G1jcaWJOBueD2kKHd_41.012379_28.975925@1306270050
169529137,SG_2qbbAAJggHmSJp6SqWfr7k_40.994667_28.911448@1306270050
169576129,SG_7bKwuQpe3Pd4eyKgKu4M9i_41.012379_28.975925@1306270052
169580009,SG_4Eu6C5QOOrZOnLiYU8XoZs_40.986061_29.084274@1306270052
169578055,SG_6RkqNlGj6iBfIQ8RSHNjEQ_41.030766_28.909605@1306270052
169548469,SG_0Qu6Haz5PipNZiIdpgvd5Y_41.082939_28.982849@1306270051
169579033,SG_2fWB3R9TUfor8FmqRlNkSN_41.012379_28.975925@1306270052
169574215,SG_3alddTwEZk3LpbVnU3ElSb_41.012379_28.975925@1306270052
169527297,SG_5u8NLk26pd0poOkNMjHZJH_36.401848_36.349812@1306270050
169531015,SG_3CkzQp3g9VC9JVEjrbm6tt_39.943874_32.856033@1306270050
169580019,SG_6iD6Vc8M5t9HTIVeGv9BcB_41.012379_28.975925@1306270052
169578057,SG_2sVlzpyCCn3MJDs4MxEbue_36.401848_36.349812@1306270052
169548475,SG_5M45T3a1lnm1wCbpctbYUY_39.770081_30.517546@1306270051
169574221,SG_4xoGzOejnAEvP8jfz4K3d0_41.012379_28.975925@1306270052
169528201,SG_1DmYx8SSVL4WT75aNGCGKH_41.012379_28.975925@1306270050
169530303,SG_2BmpvPEFQ64B34XqvYQ3Xv_41.077801_29.014431@1306270050
169580073,SG_3ByhlQZKndz3905kuwOMTW_39.795429_32.806137@1306270052
169581049,SG_2DfUQvzHK6uKFHfuC8pOMz_39.652100_27.883301@1306270052
169578079,SG_4Ohfas84028oxtVlMyHvPK_37.219601_28.365801@1306270052
169529145,SG_5mcE3bQsxwbAuv4Wavl6e2_41.012379_28.975925@1306270050
169574231,SG_3R5F5lfDVqqRR8UlKiGxDd_41.012379_28.975925@1306270052
169530317,SG_46xrCCatOAFGFPV1kZl7L4_37.140835_38.794136@1306270050
169531023,SG_22GUf6NbKL7HnmhWDB96kS_41.040249_28.989733@1306270050
169581079,SG_1Q5C1JKJhsNdDih7tZbNBf_41.012379_28.975925@1306270052
169580099,SG_4b3j2iwe4h902bixQk9y4O_41.012379_28.975925@1306270052
169528211,SG_2cX1TNKVYDkrm9zWB3NPuo_41.012379_28.975925@1306270050
169574235,SG_7eLySp7DZL7y3KU4atdUc2_41.012379_28.975925@1306270052
